sale_line_id,transaction_id,sale_date,store_id,product_id,channel_id,promotion_id,quantity,unit_price_sale
L00881,T10881,2026-02-13,S03,P013,C02,PR00,1,192700
L00975,T10975,2026-02-13,S02,P015,C01,PR00,1,240500
L00991,T10991,2026-02-13,S02,P013,C01,PR00,1,188500
L00091,T10091,2026-02-14,S03,P017,C02,PR20,3,280200
L00142,T10142,2026-02-14,S01,P011,C01,PR00,1,120200
L00430,T10430,2026-02-14,S01,P013,C01,PR10,2,170900
L00769,T10769,2026-02-14,S01,P016,C01,PR00,1,433600
L00805,T10805,2026-02-14,S03,P013,C02,PR15,2,160700
L00377,T10377,2026-02-15,S03,P019,C02,PR00,2,461400
L00406,T10406,2026-02-15,S03,P020,C02,PR20,2,127800
L00273,T10273,2026-02-16,S03,P010,C02,PR10,2,1311200
L00312,T10312,2026-02-16,S01,P013,C01,PR00,2,188600
L00593,T10593,2026-02-16,S03,P002,C02,PR00,5,3791200
L00813,T10813,2026-02-16,S01,P007,C01,PR00,5,1357500
L00918,T10918,2026-02-16,S01,P012,C01,PR00,1,283900
L00982,T10982,2026-02-16,S03,P007,C02,PR00,2,1368900
L00031,T10031,2026-02-17,S01,P016,C01,PR20,1,341900
L00282,T10282,2026-02-17,S03,P008,C02,PR15,2,836500
L00369,T10369,2026-02-17,S02,P017,C01,PR10,3,313200
L00398,T10398,2026-02-17,S02,P008,C01,PR00,1,972100
L00431,T10431,2026-02-17,S01,P012,C01,PR00,1,277000
L00470,T10470,2026-02-17,S02,P014,C01,PR00,1,521600
L00552,T10552,2026-02-17,S03,P018,C02,PR15,1,154500
L00733,T10733,2026-02-17,S01,P006,C01,PR10,2,1640200
L00760,T10760,2026-02-17,S03,P011,C02,PR00,1,120600
L00841,T10841,2026-02-17,S02,P012,C01,PR20,1,222600
L00894,T10894,2026-02-17,S01,P014,C01,PR00,1,526600
L00914,T10914,2026-02-17,S01,P010,C01,PR00,1,1465400
L00421,T10421,2026-02-18,S02,P018,C01,PR00,1,180100
L00668,T10668,2026-02-18,S02,P014,C01,PR00,3,520900
L00089,T10089,2026-02-19,S01,P016,C01,PR00,2,423700
L00197,T10197,2026-02-19,S01,P009,C01,PR20,1,1229500
L00294,T10294,2026-02-19,S02,P006,C01,PR00,1,1814200
L00638,T10638,2026-02-19,S02,P005,C01,PR00,5,2332300
L00056,T10056,2026-02-20,S03,P001,C02,PR00,2,2586500
L00286,T10286,2026-02-20,S03,P015,C02,PR15,1,206900
L00346,T10346,2026-02-20,S03,P015,C02,PR15,1,206500
L00420,T10420,2026-02-20,S01,P016,C01,PR00,2,425800
L00592,T10592,2026-02-20,S02,P003,C01,PR00,2,4202300
L00764,T10764,2026-02-20,S03,P017,C02,PR00,1,349300
L00860,T10860,2026-02-20,S01,P009,C01,PR00,1,1561800
L00983,T10983,2026-02-20,S03,P004,C02,PR00,1,1913600
L00036,T10036,2026-02-21,S02,P014,C01,PR10,1,473700
L00385,T10385,2026-02-21,S02,P017,C01,PR00,1,354600
L00441,T10441,2026-02-21,S01,P008,C01,PR10,2,871600
L00855,T10855,2026-02-21,S03,P014,C02,PR10,5,472300
L00867,T10867,2026-02-21,S03,P002,C02,PR15,2,3222800
L00952,T10952,2026-02-21,S03,P011,C02,PR10,1,109400
L00237,T10237,2026-02-22,S03,P020,C02,PR15,1,134800
L00447,T10447,2026-02-22,S03,P014,C02,PR10,1,469400
L00840,T10840,2026-02-22,S03,P013,C02,PR00,2,191900
L00021,T10021,2026-02-23,S02,P016,C01,PR00,1,426900
L00289,T10289,2026-02-23,S02,P016,C01,PR00,3,435600
L00796,T10796,2026-02-23,S02,P008,C01,PR00,2,979500
L00024,T10024,2026-02-24,S01,P012,C01,PR00,1,283000
L00052,T10052,2026-02-24,S03,P014,C02,PR00,1,514900
L00092,T10092,2026-02-24,S02,P003,C01,PR00,1,4197900
L00104,T10104,2026-02-24,S03,P009,C02,PR20,1,1257400
L00221,T10221,2026-02-24,S02,P019,C01,PR00,2,463200
L00439,T10439,2026-02-24,S01,P007,C01,PR15,3,1164200
L00539,T10539,2026-02-25,S02,P003,C01,PR15,1,3586100
L00640,T10640,2026-02-25,S03,P010,C02,PR00,2,1466200
L00886,T10886,2026-02-25,S03,P004,C02,PR00,1,1903200
L00440,T10440,2026-02-26,S01,P011,C01,PR00,2,121100
L00731,T10731,2026-02-26,S03,P014,C02,PR15,2,436900
L00292,T10292,2026-02-27,S01,P005,C01,PR00,1,2322600
L00727,T10727,2026-02-27,S03,P020,C02,PR00,1,158700
L00628,T10628,2026-02-28,S01,P016,C01,PR10,3,386200
L00663,T10663,2026-02-28,S03,P020,C02,PR10,1,142700
L00017,T10017,2026-03-01,S03,P018,C02,PR20,2,142900
L00404,T10404,2026-03-01,S03,P015,C02,PR15,1,206100
L00429,T10429,2026-03-01,S02,P019,C01,PR10,1,414000
L00479,T10479,2026-03-01,S02,P002,C01,PR00,3,3774500
L00496,T10496,2026-03-01,S03,P008,C02,PR00,2,977900
L00666,T10666,2026-03-01,S03,P014,C02,PR15,1,445500
L00093,T10093,2026-03-02,S03,P014,C02,PR00,1,526200
L00185,T10185,2026-03-02,S01,P008,C01,PR10,1,886000
L00276,T10276,2026-03-02,S02,P009,C01,PR00,1,1535000
L00026,T10026,2026-03-03,S01,P006,C01,PR00,3,1821000
L00616,T10616,2026-03-03,S02,P011,C01,PR00,1,118900
L00749,T10749,2026-03-03,S01,P014,C01,PR00,1,523700
L00897,T10897,2026-03-03,S02,P007,C01,PR00,1,1330100
L00065,T10065,2026-03-04,S02,P014,C01,PR00,3,521800
L00119,T10119,2026-03-04,S02,P011,C01,PR00,2,121300
L00306,T10306,2026-03-04,S03,P007,C02,PR20,4,1079300
L00419,T10419,2026-03-04,S03,P002,C02,PR00,2,3827200
L00527,T10527,2026-03-04,S01,P006,C01,PR00,3,1778600
L00591,T10591,2026-03-04,S03,P017,C02,PR00,1,347400
L00714,T10714,2026-03-04,S01,P014,C01,PR00,1,514300
L00746,T10746,2026-03-04,S02,P018,C01,PR00,1,180300
L00784,T10784,2026-03-04,S01,P003,C01,PR10,5,3766900
L00953,T10953,2026-03-04,S03,P012,C02,PR00,1,280200
L00203,T10203,2026-03-05,S01,P015,C01,PR20,1,190900
L00243,T10243,2026-03-05,S01,P009,C01,PR00,1,1552400
L00355,T10355,2026-03-05,S02,P015,C01,PR00,1,237000
L00379,T10379,2026-03-05,S02,P001,C01,PR00,1,2572300
L00581,T10581,2026-03-05,S03,P011,C02,PR00,3,119000
L00715,T10715,2026-03-05,S01,P011,C01,PR00,2,121000
L00002,T10002,2026-03-06,S01,P018,C01,PR00,1,177500
L00190,T10190,2026-03-06,S03,P006,C02,PR00,1,1778600
L00342,T10342,2026-03-06,S03,P019,C02,PR00,1,461600
L00831,T10831,2026-03-06,S03,P008,C02,PR15,2,827300
L00849,T10849,2026-03-06,S03,P015,C02,PR15,1,203200
L00935,T10935,2026-03-06,S02,P014,C01,PR00,1,512800
L00537,T10537,2026-03-07,S03,P006,C02,PR15,3,1521700
L00556,T10556,2026-03-07,S02,P020,C01,PR00,1,161300
L00818,T10818,2026-03-07,S03,P016,C02,PR15,1,362100
L00822,T10822,2026-03-07,S03,P016,C02,PR15,1,366500
L00003,T10003,2026-03-08,S03,P018,C02,PR10,5,161800
L00388,T10388,2026-03-08,S02,P006,C01,PR15,1,1540700
L00528,T10528,2026-03-08,S01,P012,C01,PR00,1,279400
L00643,T10643,2026-03-08,S02,P007,C01,PR00,1,1334100
L00713,T10713,2026-03-08,S03,P008,C02,PR00,1,974500
L00834,T10834,2026-03-08,S02,P011,C01,PR00,1,119500
L00845,T10845,2026-03-08,S02,P012,C01,PR00,1,278500
L00449,T10449,2026-03-09,S02,P003,C01,PR00,3,4174600
L00459,T10459,2026-03-09,S01,P018,C01,PR00,1,177500
L00509,T10509,2026-03-09,S01,P011,C01,PR10,1,109400
L00602,T10602,2026-03-09,S03,P015,C02,PR00,3,238100
L00779,T10779,2026-03-09,S02,P014,C01,PR00,2,514000
L00869,T10869,2026-03-09,S01,P020,C01,PR10,1,145400
L00461,T10461,2026-03-10,S03,P015,C02,PR10,2,216500
L00641,T10641,2026-03-10,S01,P017,C01,PR00,4,353100
L00708,T10708,2026-03-10,S02,P006,C01,PR00,4,1788800
L00720,T10720,2026-03-10,S02,P012,C01,PR00,4,279000
L00154,T10154,2026-03-11,S03,P015,C02,PR20,1,192600
L00224,T10224,2026-03-11,S02,P019,C01,PR00,1,455100
L00467,T10467,2026-03-11,S01,P010,C01,PR00,2,1430100
L00802,T10802,2026-03-11,S03,P006,C02,PR00,1,1823200
L00941,T10941,2026-03-11,S02,P012,C01,PR00,3,277600
L00362,T10362,2026-03-12,S03,P007,C02,PR15,2,1156600
L00543,T10543,2026-03-12,S01,P007,C01,PR00,2,1340200
L00565,T10565,2026-03-12,S02,P006,C01,PR00,2,1825900
L00900,T10900,2026-03-12,S01,P011,C01,PR10,3,107700
L00165,T10165,2026-03-13,S02,P007,C01,PR00,1,1342000
L00256,T10256,2026-03-13,S01,P013,C01,PR00,1,192000
L00296,T10296,2026-03-13,S03,P006,C02,PR00,1,1781600
L00349,T10349,2026-03-13,S02,P020,C01,PR00,1,158100
L00361,T10361,2026-03-13,S03,P011,C02,PR00,1,121300
L00721,T10721,2026-03-13,S01,P017,C01,PR00,2,351900
L00787,T10787,2026-03-13,S03,P017,C02,PR15,1,297000
L00919,T10919,2026-03-13,S02,P014,C01,PR00,1,519900
L00921,T10921,2026-03-14,S02,P012,C01,PR10,2,254500
L00928,T10928,2026-03-14,S03,P006,C02,PR15,2,1528100
L00027,T10027,2026-03-15,S02,P005,C01,PR10,1,2040600
L00308,T10308,2026-03-15,S03,P013,C02,PR10,3,172500
L00836,T10836,2026-03-15,S02,P013,C01,PR10,1,172500
L00198,T10198,2026-03-16,S01,P007,C01,PR10,4,1198400
L00245,T10245,2026-03-16,S01,P008,C01,PR10,1,887800
L00351,T10351,2026-03-16,S02,P011,C01,PR00,1,118700
L00382,T10382,2026-03-16,S02,P012,C01,PR10,1,250800
L00412,T10412,2026-03-16,S03,P011,C02,PR00,1,120500
L00010,T10010,2026-03-17,S02,P010,C01,PR10,2,1292100
L00059,T10059,2026-03-17,S01,P001,C01,PR00,1,2604100
L00084,T10084,2026-03-17,S01,P007,C01,PR10,2,1212200
L00314,T10314,2026-03-17,S03,P019,C02,PR15,1,388900
L00580,T10580,2026-03-17,S03,P020,C02,PR00,1,158300
L00582,T10582,2026-03-17,S03,P014,C02,PR10,1,461100
L00814,T10814,2026-03-17,S02,P012,C01,PR00,1,280300
L00054,T10054,2026-03-18,S03,P016,C02,PR00,1,433600
L00239,T10239,2026-03-18,S03,P015,C02,PR15,1,203600
L00485,T10485,2026-03-18,S01,P007,C01,PR10,1,1209000
L00512,T10512,2026-03-18,S02,P013,C01,PR00,1,190600
L00571,T10571,2026-03-18,S03,P010,C02,PR00,1,1438600
L00717,T10717,2026-03-18,S03,P013,C02,PR00,2,188300
L00106,T10106,2026-03-19,S02,P005,C01,PR00,1,2305200
L00145,T10145,2026-03-19,S03,P015,C02,PR00,3,237000
L00339,T10339,2026-03-19,S03,P011,C02,PR10,2,107800
L00520,T10520,2026-03-19,S03,P012,C02,PR10,1,255000
L00547,T10547,2026-03-19,S01,P001,C01,PR00,1,2631800
L00617,T10617,2026-03-19,S02,P014,C01,PR00,2,516900
L00872,T10872,2026-03-19,S02,P001,C01,PR00,2,2600800
L00182,T10182,2026-03-20,S02,P014,C01,PR10,2,473000
L00261,T10261,2026-03-20,S02,P004,C01,PR10,5,1733500
L00600,T10600,2026-03-20,S03,P018,C02,PR00,1,182400
L00718,T10718,2026-03-20,S02,P018,C01,PR00,1,182400
L00903,T10903,2026-03-20,S02,P011,C01,PR00,1,120100
L00090,T10090,2026-03-21,S03,P013,C02,PR15,1,159700
L00138,T10138,2026-03-21,S01,P015,C01,PR20,1,189200
L00208,T10208,2026-03-21,S03,P020,C02,PR10,1,145700
L00212,T10212,2026-03-21,S01,P008,C01,PR00,2,980600
L00497,T10497,2026-03-21,S02,P011,C01,PR00,1,118300
L00499,T10499,2026-03-21,S01,P009,C01,PR00,2,1536900
L00546,T10546,2026-03-21,S03,P012,C02,PR00,1,281900
L00579,T10579,2026-03-21,S01,P013,C01,PR00,2,187800
L00689,T10689,2026-03-21,S02,P012,C01,PR00,2,279600
L00707,T10707,2026-03-21,S02,P012,C01,PR10,3,255200
L00789,T10789,2026-03-21,S01,P012,C01,PR00,1,281600
L00809,T10809,2026-03-21,S03,P014,C02,PR15,1,436200
L00824,T10824,2026-03-21,S02,P017,C01,PR00,2,348300
L00502,T10502,2026-03-22,S01,P016,C01,PR00,2,434600
L00737,T10737,2026-03-22,S02,P006,C01,PR00,1,1801100
L00148,T10148,2026-03-23,S03,P008,C02,PR00,2,972000
L00432,T10432,2026-03-23,S01,P011,C01,PR00,3,118800
L00501,T10501,2026-03-23,S03,P015,C02,PR00,1,241100
L00685,T10685,2026-03-23,S01,P015,C01,PR15,2,206600
L00821,T10821,2026-03-23,S01,P015,C01,PR00,4,242400
L00956,T10956,2026-03-23,S02,P014,C01,PR00,1,517400
L00965,T10965,2026-03-23,S03,P007,C02,PR10,2,1231800
L00033,T10033,2026-03-24,S03,P020,C02,PR00,2,159800
L00534,T10534,2026-03-24,S01,P013,C01,PR00,3,189100
L00823,T10823,2026-03-24,S03,P015,C02,PR10,1,213700
L00946,T10946,2026-03-24,S01,P015,C01,PR00,1,240700
L00016,T10016,2026-03-25,S01,P019,C01,PR00,4,458700
L00194,T10194,2026-03-25,S02,P008,C01,PR00,3,974200
L00608,T10608,2026-03-25,S01,P014,C01,PR00,2,519300
L00482,T10482,2026-03-26,S02,P008,C01,PR00,5,984400
L00682,T10682,2026-03-26,S03,P019,C02,PR15,1,395700
L00916,T10916,2026-03-26,S02,P011,C01,PR10,2,107700
L00094,T10094,2026-03-28,S03,P010,C02,PR00,1,1442300
L00210,T10210,2026-03-28,S03,P011,C02,PR00,2,118900
L00856,T10856,2026-03-28,S03,P019,C02,PR15,1,391200
L00932,T10932,2026-03-28,S02,P017,C01,PR10,1,311400
L00337,T10337,2026-03-29,S03,P003,C02,PR15,1,3538200
L00462,T10462,2026-03-29,S02,P016,C01,PR00,1,433000
L00558,T10558,2026-03-29,S03,P007,C02,PR15,1,1138800
